id,type,domain,enabled,date_added,date_modified,comment
72,0,geo3.ggpht.com,1,1660604025,1660604025,"Owned by Google. Used to deliver static files over the internet. - qjz9zk"
73,0,giphy.com,1,1660604026,1660604026,"Gifs hosting platform. - qjz9zk"
74,0,github.com,1,1660604027,1660604027,"GitHub provides hosting for software development and version control using Git. - qjz9zk"
75,0,github.io,1,1660604028,1660604028,"Owned by GitHub. Used for GitHub pages. - qjz9zk"
76,0,googleapis.com,1,1660604029,1660604029,"An important domain used to provide APIs to various Google services. - qjz9zk"
77,0,gravatar.com,1,1660604029,1660604029,"Owned by Automattic. Gravatar is a service for providing globally unique avatars - qjz9zk"
78,0,gstatic.com,1,1660604029,1660604029,"Owned by Google. gstatic.com is a cookieless domain to deliver static content for Google. - qjz9zk"
79,0,help.ui.xboxlive.com,1,1660604030,1660604030,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
80,0,hls.ted.com,1,1660604030,1660604030,"Used by ted.com streams. - qjz9zk"
81,0,i.ytimg.com,1,1660604031,1660604031,"Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk"
82,0,i1.ytimg.com,1,1660604032,1660604032,"Owned by Google. Used to deliver thumbails in YouTube. - qjz9zk"
83,0,imagesak.secureserver.net,1,1660604032,1660604032,"GoDaddy webmail buttons - qjz9zk"
84,0,img.vidible.tv,1,1660604032,1660604032,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
85,0,imgix.net,1,1660604033,1660604033,"Image placeholders often used during web page loading. - qjz9zk"
86,0,imgs.xkcd.com,1,1660604033,1660604033,"Used to deliver images on xkcd.com. - qjz9zk"
87,0,instantmessaging-pa.googleapis.com,1,1660604034,1660604034,"An important domain used to provide APIs to various Google services. - qjz9zk"
88,0,intercom.io,1,1660604034,1660604034,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
89,0,jquery.com,1,1660604035,1660604035,"jQuery is a JavaScript library. Also used to deliver the files over CDN. - qjz9zk"
90,0,jsdelivr.net,1,1660604035,1660604035," jsDelivr is a free public CDN for open-source projects. It can serve web files directly from the npm registry and GitHub repositories without any configuration. - qjz9zk"
91,0,keystone.mwbsys.com,1,1660604035,1660604035,"Owned by Malwarebytes. It is a licensing system used to verify the Malwarebytes software license. - qjz9zk"
92,0,lastfm-img2.akamaized.net,1,1660604036,1660604036,"Used by last.fm to deliver images. - qjz9zk"
93,0,licensing.xboxlive.com,1,1660604036,1660604036,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
94,0,live.com,1,1660604037,1660604037,"Owned by Microsoft. It is a personal information manager web app from Microsoft consisting of webmail, calendaring, contacts, and tasks services. - qjz9zk"
95,0,login.live.com,1,1660604038,1660604038,"Owned by Microsoft. The following endpoint is used to authenticate a device.  - qjz9zk"
96,0,login.microsoftonline.com,1,1660604039,1660604039,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
97,0,manifest.googlevideo.com,1,1660604039,1660604039,"Used for YouTube live streams. - qjz9zk"
98,0,meta-db-worker02.pop.ric.plex.bz,1,1660604040,1660604040,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
99,0,meta.plex.bz,1,1660604042,1660604042,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
100,0,meta.plex.tv,1,1660604043,1660604043,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
101,0,microsoftonline.com,1,1660604044,1660604044,"Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk"
102,0,msftncsi.com,1,1660604045,1660604045,"Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk"
103,0,my.plexapp.com,1,1660604046,1660604046,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
104,0,nexusrules.officeapps.live.com,1,1660604047,1660604047,"Owned by Microsoft. Used by Microsoft Office apps. - qjz9zk"
105,0,npr-news.streaming.adswizz.com,1,1660604047,1660604047,"Used for NPR morning news and podcasts. - qjz9zk"
106,0,nine.plugins.plexapp.com,1,1660604048,1660604048,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
107,0,no-ip.com,1,1660604049,1660604049,"No-IP offers DNS services, email, network monitoring and SSL certificates. - qjz9zk"
108,0,node.plexapp.com,1,1660604049,1660604049,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
109,0,notify.xboxlive.com,1,1660604050,1660604050,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
110,0,ns1.dropbox.com,1,1660604051,1660604051,"Dropbox nameserver. Used to download files from Dropbox - qjz9zk"
